Date,PM10,PM2.5,O3,NO2,CO,SO2,D-10,D-12,B-06,temp,use_count
2020-01-01,-0.309451798,0.229010791,-1.348869233,0.717939379,0.606813483,1.043327284,-1.226199397,-0.26909479,-1.813576267,-1.556851879,-1.443756129
2020-01-02,0.339362957,1.493862836,-1.348869233,1.431324544,2.3906499,2.126668541,-0.135010692,0.084970176,-0.328190039,-1.239766594,-1.329249388
2020-01-03,0.534007383,1.791475082,-1.098142819,1.431324544,2.98526204,2.126668541,0.594014457,0.62455024,0.390607578,-1.34876466,-1.317798714
2020-01-04,0.371803694,1.493862836,-0.930991877,1.431324544,2.98526204,3.210009797,0.495355633,0.641882948,0.0216330004,-1.219948763,-1.409404107
2020-01-05,0.306922219,1.345056713,-1.265293762,1.748384617,3.579874179,3.210009797,-0.736083361,-0.101096139,-1.044176422,-1.210039848,-1.409404107
2020-01-06,0.209600006,1.19625059,-1.516020175,1.827649635,2.98526204,3.210009797,-0.0186651319,-6.886759478,-0.0268608012,-1.031679376,-1.455206803
2020-01-07,-0.763622126,-0.589422885,-1.516020175,0.717939379,0.606813483,1.043327284,-0.156151869,-6.886759478,-0.0583114914,-0.714594091,-1.661318937
2020-01-08,-1.023148027,-1.035841254,-1.348869233,0.638674361,0.0122013435,1.043327284,0.116058053,0.392242955,0.115985071,-1.101041782,-1.420854781
2020-01-09,0.371803694,1.865878143,0.0719137776,-0.867360987,0.606813483,2.126668541,0.543303269,0.679916912,0.428032142,-1.457762727,-1.226193321
2020-01-10,0.761092547,2.535505696,-1.098142819,0.876469416,2.3906499,2.126668541,0.76839462,0.690022554,0.615330666,-1.398309236,-1.191841299
2020-01-11,0.339362957,1.642668959,-0.513114521,0.400879306,1.796037761,2.126668541,0.765631068,0.78207577,0.310838788,-1.34876466,-1.397953433
2020-01-12,0.274481481,1.493862836,0.23906472,-0.788095968,1.201425622,2.126668541,-0.53310043,0.125086514,-0.772892256,-1.437944897,-1.386502759
2020-01-13,-0.439214749,0.00580160671,-0.262388107,-0.471035895,0.0122013435,1.043327284,0.337556785,0.459552658,0.346506331,-1.626214285,-1.30634804
2020-01-14,-0.212129585,0.303413853,-1.432444704,1.272794507,1.796037761,2.126668541,0.499915495,0.609851123,0.419247033,-1.566760794,-1.352150736
2020-01-15,-0.114807371,0.526623037,-0.847416406,0.400879306,1.201425622,2.126668541,0.566655288,0.555096915,0.673839492,-1.606396455,-1.36360141
2020-01-16,0.0149555795,0.824235283,-0.596689992,0.400879306,1.201425622,3.210009797,0.667663132,0.647517609,0.581244443,-1.507307303,-1.283446692
2020-01-17,0.306922219,1.270653651,-1.181718291,1.58985458,2.3906499,3.210009797,0.984642603,0.830705347,0.90260373,-1.398309236,-1.420854781
2020-01-18,0.566448121,1.71707202,-1.098142819,1.669119598,2.98526204,3.210009797,0.689771552,0.832665229,0.50850374,-1.309129,-1.443756129
2020-01-19,0.534007383,1.865878143,-0.680265463,1.11426447,2.3906499,2.126668541,-0.482251064,0.0430776943,-0.902560465,-1.150586357,-1.489558826
2020-01-20,0.177159268,0.824235283,-0.0952371649,-0.0747108038,1.201425622,2.126668541,0.687422532,0.384893396,1.016107338,-1.269493339,-1.340700062
2020-01-21,-0.0499258959,0.526623037,-1.014567348,1.034999452,1.796037761,3.210009797,0.902703272,0.627735048,1.117136091,-1.378491406,-1.30634804
2020-01-22,0.0798370549,0.973041406,-1.432444704,1.669119598,2.3906499,3.210009797,1.038531877,0.701108138,0.899616792,-1.041588291,-1.146038603
2020-01-23,0.0149555795,0.973041406,-1.599595647,1.906914653,3.579874179,4.293351054,1.005507425,0.738713377,0.799817954,-0.883045648,-1.329249388
2020-01-24,0.825974022,2.461102635,-0.0116616937,-0.312505859,1.796037761,2.126668541,-0.656216694,0.0627990088,-1.781071364,-1.061406121,-1.340700062
2020-01-25,0.43668517,1.791475082,-1.014567348,0.400879306,1.796037761,1.043327284,-0.416478514,-0.456324785,-0.244204398,-0.912772394,-1.455206803
2020-01-26,-0.471655486,0.00580160671,-0.262388107,-0.471035895,0.606813483,1.043327284,-1.192345879,-0.512120181,-1.637874087,-0.793865412,-1.397953433
2020-01-27,-0.958266552,-1.035841254,0.740517547,-1.501481133,-1.177022935,1.043327284,-1.492053148,-0.626344564,-2.118419549,-0.754229751,-1.466657477
2020-01-28,-0.925825814,-0.961438192,0.489791134,-1.342951096,-1.177022935,1.043327284,-0.0066436785,0.199623284,-0.179018889,-0.665049515,-1.214742647
2020-01-29,-0.763622126,-0.738229008,-0.42953905,-0.391770877,-0.582410796,1.043327284,0.293754478,0.407370795,0.290281633,-0.744320836,-1.214742647
2020-01-30,-0.69874065,-0.589422885,-0.680265463,0.0838192327,0.606813483,2.126668541,0.466200154,0.478967741,0.628508329,-0.823592157,-1.134587928
2020-01-31,-0.439214749,0.0802046682,-0.680265463,0.321614288,0.606813483,1.043327284,0.67415748,0.630429886,0.583177167,-0.952408054,-1.249094669
2020-02-01,0.85841476,2.684311819,-0.847416406,1.034999452,2.98526204,2.126668541,-2.990727669,0.613219671,-1.289456665,-1.081223951,-1.409404107
2020-02-02,0.923296236,2.833117942,0.155489249,-0.0747108038,2.3906499,2.126668541,-4.07224394,-0.149664469,-2.856368704,-1.190222018,-1.294897366
2020-02-03,-0.439214749,0.00580160671,0.489791134,-1.18442106,-0.582410796,1.043327284,-2.17437426,0.319114851,-1.175601652,-1.378491406,-1.249094669
